Artist,Average_Rating,Genre
television,10.0,electronic
farben,9.5,electronic
jamie xx,9.3,electronic
olivia block,9.3,electronic
gas,9.23,electronic
basic channel,9.1,electronic
disclosure,9.1,electronic
the prodigy,9.1,electronic
antena,9.0,electronic
the avalanches,9.0,electronic
alan braxe,8.9,electronic
tarwater,8.9,electronic
andrew coleman,8.8,electronic
arovane,8.8,electronic
fingers inc.,8.8,electronic
larry levan,8.8,electronic
ms. john soda,8.8,electronic
parsley sound,8.8,electronic
portishead,8.8,electronic
remarc,8.8,electronic
fuck buttons,8.77,electronic
a guy called gerald,8.7,electronic
asian dub foundation,8.7,electronic
cybotron,8.7,electronic
dj signify,8.7,electronic
dorine muraille,8.7,electronic
galerie stratique,8.7,electronic
hecker,8.7,electronic
herbert,8.7,electronic
steinski,8.7,electronic
melchior productions,8.6,electronic
mu,8.6,electronic
pp bradock,8.6,electronic
terrestre,8.6,electronic
the cinematic orchestra,8.6,electronic
daft punk,8.57,electronic
brad fiedel,8.5,electronic
"dj target, riko",8.5,electronic
lewis parker,8.5,electronic
manual,8.5,electronic
safety scissors,8.5,electronic
stewart walker,8.5,electronic
studio 1,8.5,electronic
tnght,8.5,electronic
various production,8.5,electronic
yacht,8.5,electronic
fka twigs,8.47,electronic
aphex twin,8.46,electronic
to rococo rot,8.45,electronic
boards of canada,8.44,electronic
luomo,8.44,electronic
panda bear,8.44,electronic
stars of the lid,8.43,electronic
a gun called tension,8.4,electronic
bogdan raczynski,8.4,electronic
capitol k,8.4,electronic
jd twitch,8.4,electronic
jrgen mller,8.4,electronic
julia holter,8.4,electronic
kalabrese,8.4,electronic
knife in the water,8.4,electronic
massive attack,8.4,electronic
morgan geist,8.4,electronic
mylo,8.4,electronic
nathan fake,8.4,electronic
purity ring,8.4,electronic
req,8.4,electronic
third eye foundation,8.4,electronic
"world standard, wechsel garland",8.4,electronic
two lone swordsmen,8.38,electronic
underworld,8.38,electronic
neon indian,8.37,electronic
tyondai braxton,8.35,electronic
how to dress well,8.34,electronic
enduser,8.33,electronic
the field,8.32,electronic
"anthony ""shake"" shakir",8.3,electronic
david last,8.3,electronic
drexciya,8.3,electronic
emeralds,8.3,electronic
fonica,8.3,electronic
gui boratto,8.3,electronic
levon vincent,8.3,electronic
metronome,8.3,electronic
mileece,8.3,electronic
my my,8.3,electronic
norman,8.3,electronic
phthalocyanine,8.3,electronic
seor coconut,8.3,electronic
theo parrish,8.3,electronic
thomas dimuzio,8.3,electronic
white williams,8.3,electronic
flying lotus,8.28,electronic
dj /rupture,8.25,electronic
porter ricks,8.25,electronic
girl talk,8.23,electronic
nicolas jaar,8.23,electronic
africa hitech,8.2,electronic
african head charge,8.2,electronic
akufen,8.2,electronic
angel molina,8.2,electronic
factory floor,8.2,electronic
function,8.2,electronic
hercules,8.2,electronic
hundred waters,8.2,electronic
john talabot,8.2,electronic
julianna barwick,8.2,electronic
kyle hall,8.2,electronic
mils,8.2,electronic
no. 9,8.2,electronic
paranoid london,8.2,electronic
patrick cowley,8.2,electronic
phoenecia,8.2,electronic
rotoscope,8.2,electronic
seekers who are lovers,8.2,electronic
shy layers,8.2,electronic
soulwax,8.2,electronic
soundmurderer,8.2,electronic
syclops,8.2,electronic
syrinx,8.2,electronic
the kallikak family,8.2,electronic
the wisdom of harry,8.2,electronic
thundercat,8.2,electronic
voices from the lake,8.2,electronic
plaid,8.18,electronic
the tough alliance,8.18,electronic
isole,8.17,electronic
prefuse 73,8.17,electronic
mantronix,8.15,electronic
todd terje,8.15,electronic
matthew herbert,8.14,electronic
demdike stare,8.13,electronic
ricardo villalobos,8.13,electronic
suicide,8.13,electronic
dj shadow,8.11,electronic
-ziq,8.1,electronic
afx,8.1,electronic
"aphex twin, afx",8.1,electronic
bergheim 34,8.1,electronic
bruno pronsato,8.1,electronic
crystal castles,8.1,electronic
dj richard,8.1,electronic
felix kubin,8.1,electronic
hrvatski,8.1,electronic
justice,8.1,electronic
justus khncke,8.1,electronic
kelley polar,8.1,electronic
kingdom,8.1,electronic
kpt.michi.gan,8.1,electronic
looper,8.1,electronic
lotic,8.1,electronic
marc leclair,8.1,electronic
mellow,8.1,electronic
moodymann,8.1,electronic
mr. fingers,8.1,electronic
pearson sound,8.1,electronic
polygon window,8.1,electronic
powell,8.1,electronic
quiet village,8.1,electronic
scuba,8.1,electronic
studio ost,8.1,electronic
symmetry,8.1,electronic
taso,8.1,electronic
the xx,8.1,electronic
twine,8.1,electronic
adult.,8.08,electronic
lindstrm,8.08,electronic
sam prekop,8.08,electronic
ben frost,8.07,electronic
superpitcher,8.07,electronic
the very best,8.07,electronic
banco de gaia,8.05,electronic
jlin,8.05,electronic
markus guentner,8.05,electronic
posthuman,8.05,electronic
studio,8.05,electronic
basement jaxx,8.04,electronic
autre ne veut,8.03,electronic
the soft pink truth,8.03,electronic
andy stott,8.0,electronic
booka shade,8.0,electronic
bows,8.0,electronic
calamalka,8.0,electronic
colleen,8.0,electronic
"daft punk, leiji matsumoto",8.0,electronic
dilly dally,8.0,electronic
"diplo, santogold",8.0,electronic
dj dodger stadium,8.0,electronic
"donato dozzy, nuel",8.0,electronic
egyptian lover,8.0,electronic
el guincho,8.0,electronic
faultline,8.0,electronic
fenn o'berg,8.0,electronic
ink,8.0,electronic
jon mcmillion,8.0,electronic
julio bashmore,8.0,electronic
king felix,8.0,electronic
kneebody and daedelus,8.0,electronic
"kyle dixon, michael stein",8.0,electronic
leila,8.0,electronic
lexxi,8.0,electronic
lv,8.0,electronic
marie davidson,8.0,electronic
mark barrott,8.0,electronic
metamatics,8.0,electronic
microstoria,8.0,electronic
motion graphics,8.0,electronic
move d,8.0,electronic
objekt,8.0,electronic
oneman,8.0,electronic
onra,8.0,electronic
pantha du prince,8.0,electronic
princess superstar,8.0,electronic
rp boo,8.0,electronic
schlammpeitziger,8.0,electronic
scott hirsch,8.0,electronic
sepalcure,8.0,electronic
september collective,8.0,electronic
silkie,8.0,electronic
stereo total,8.0,electronic
sutekh,8.0,electronic
tristan perich,8.0,electronic
weval,8.0,electronic
zammuto,8.0,electronic
zora jones,8.0,electronic
cornelius,7.98,electronic
roman flgel,7.97,electronic
the chemical brothers,7.97,electronic
egyptrixx,7.95,electronic
james holden,7.95,electronic
