Genre,Artist,Rating
electronic,television,10.0
electronic,farben,9.5
electronic,olivia block,9.3
electronic,jamie xx,9.3
electronic,gas,9.23
electronic,basic channel,9.1
electronic,13th floor elevators,9.1
electronic,the avalanches,9.0
electronic,max tundra,9.0
electronic,culture,9.0
electronic,antena,9.0
electronic,boxhead ensemble,8.9
electronic,alan braxe,8.9
electronic,blondie,8.85
electronic,remarc,8.8
electronic,portishead,8.8
electronic,parsley sound,8.8
electronic,larry levan,8.8
electronic,fingers inc.,8.8
electronic,arovane,8.8
electronic,andrew coleman,8.8
electronic,fuck buttons,8.77
electronic,thee headcoats,8.7
electronic,steinski,8.7
electronic,galerie stratique,8.7
electronic,dorine muraille,8.7
electronic,dj signify,8.7
electronic,cybotron,8.7
electronic,"cluster, brian eno",8.7
electronic,cassetteboy,8.7
electronic,caf tacuba,8.7
electronic,build an ark,8.7
electronic,the exploding hearts,8.65
electronic,bikini kill,8.65
electronic,dexys midnight runners,8.63
electronic,white noise,8.6
electronic,terrestre,8.6
electronic,prefab sprout,8.6
electronic,pp bradock,8.6
electronic,mu,8.6
electronic,melchior productions,8.6
electronic,harald grosskopf,8.6
electronic,"ekkehard ehlers, stephan mathieu",8.6
electronic,archy marshall,8.6
electronic,air france,8.6
electronic,tnght,8.5
electronic,studio 1,8.5
electronic,stewart walker,8.5
electronic,simple minds,8.5
electronic,safety scissors,8.5
electronic,ragga twins,8.5
electronic,out hud,8.5
electronic,manual,8.5
electronic,lewis parker,8.5
electronic,kraftwerk,8.5
electronic,jon hassell,8.5
electronic,harmonia,8.5
electronic,"dj target, riko",8.5
electronic,"diplo, m.i.a.",8.5
electronic,diamanda gals,8.5
electronic,cluster,8.5
electronic,"busdriver, daedelus, radioinactive",8.5
electronic,"brian eno, jon hassell",8.5
electronic,brad fiedel,8.5
electronic,baptist generals,8.5
electronic,fka twigs,8.47
electronic,panda bear,8.44
electronic,luomo,8.44
electronic,stars of the lid,8.43
electronic,"world standard, wechsel garland",8.4
electronic,so,8.4
electronic,mylo,8.4
electronic,luciano,8.4
electronic,knife in the water,8.4
electronic,kalabrese,8.4
electronic,julia holter,8.4
electronic,jrgen mller,8.4
electronic,jd twitch,8.4
electronic,esg,8.4
electronic,dj food,8.4
electronic,dill,8.4
electronic,a gun called tension,8.4
electronic,neon indian,8.37
electronic,throbbing gristle,8.33
electronic,grace jones,8.33
electronic,enduser,8.33
electronic,white williams,8.3
electronic,thomas dimuzio,8.3
electronic,theo parrish,8.3
electronic,the deadly snakes,8.3
electronic,seor coconut,8.3
electronic,sandro perri,8.3
electronic,professor murder,8.3
electronic,phthalocyanine,8.3
electronic,norman,8.3
electronic,my my,8.3
electronic,muscles,8.3
electronic,mileece,8.3
electronic,metronome,8.3
electronic,levon vincent,8.3
electronic,fonica,8.3
electronic,drexciya,8.3
electronic,deathprod,8.3
electronic,david last,8.3
electronic,cristina,8.3
electronic,aztec camera,8.3
electronic,"anthony ""shake"" shakir",8.3
electronic,porter ricks,8.25
electronic,dj /rupture,8.25
electronic,nicolas jaar,8.23
electronic,girl talk,8.23
electronic,voices from the lake,8.2
electronic,thundercat,8.2
electronic,the kallikak family,8.2
electronic,the dead texan,8.2
electronic,syrinx,8.2
electronic,syclops,8.2
electronic,"susanna, jenny hval",8.2
electronic,soundmurderer,8.2
electronic,shy layers,8.2
electronic,seekers who are lovers,8.2
electronic,rotoscope,8.2
electronic,phoenecia,8.2
electronic,pauline oliveros,8.2
electronic,patrick cowley,8.2
electronic,paranoid london,8.2
electronic,no. 9,8.2
electronic,mils,8.2
electronic,kyle hall,8.2
electronic,john talabot,8.2
electronic,homelife,8.2
electronic,hercules,8.2
electronic,function,8.2
electronic,fm3,8.2
electronic,electrik red,8.2
electronic,clor,8.2
electronic,burial,8.2
electronic,angel molina,8.2
electronic,african head charge,8.2
electronic,africa hitech,8.2
electronic,pylon,8.17
electronic,isole,8.17
electronic,mantronix,8.15
electronic,black forest/black sea,8.15
electronic,boards of canada,8.14
electronic,ricardo villalobos,8.13
electronic,demdike stare,8.13
electronic,various artists,8.1
electronic,the xx,8.1
electronic,taso,8.1
electronic,t.o.k.,8.1
electronic,symmetry,8.1
electronic,studio ost,8.1
electronic,seaworthy,8.1
electronic,scuba,8.1
electronic,quiet village,8.1
electronic,powell,8.1
electronic,polygon window,8.1
electronic,pearson sound,8.1
electronic,mr. fingers,8.1
electronic,moodymann,8.1
electronic,mellow,8.1
electronic,marc leclair,8.1
electronic,lotic,8.1
electronic,kingdom,8.1
electronic,kelley polar,8.1
electronic,hrvatski,8.1
electronic,gruppo di improvvisazione nuova consonanza,8.1
electronic,flanger,8.1
electronic,fever ray,8.1
electronic,felix kubin,8.1
electronic,dj richard,8.1
electronic,chihei hatakeyama,8.1
electronic,bruno pronsato,8.1
electronic,bergheim 34,8.1
electronic,balam acab,8.1
electronic,asmus tietchens,8.1
electronic,"aphex twin, afx",8.1
electronic,alamaailman vasarat,8.1
electronic,sam prekop,8.08
electronic,how to dress well,8.08
electronic,superpitcher,8.07
electronic,studio,8.05
electronic,posthuman,8.05
electronic,pluramon,8.05
electronic,markus guentner,8.05
electronic,jlin,8.05
electronic,erlend ye,8.05
electronic,banco de gaia,8.05
electronic,junior boys,8.04
electronic,grouper,8.04
electronic,the soft pink truth,8.03
electronic,zora jones,8.0
electronic,weval,8.0
electronic,tristan perich,8.0
electronic,sutekh,8.0
electronic,silkie,8.0
electronic,september collective,8.0
electronic,scritti politti,8.0
electronic,scott hirsch,8.0
electronic,schlammpeitziger,8.0
electronic,"scanner, david toop, i/03",8.0
electronic,rp boo,8.0
electronic,richard chartier,8.0
electronic,ramblin' jack elliott,8.0
electronic,princess superstar,8.0
electronic,oneman,8.0
electronic,"okkyung lee, christian marclay",8.0
electronic,objekt,8.0
electronic,move d,8.0
electronic,motion graphics,8.0
electronic,microstoria,8.0
electronic,metamatics,8.0
electronic,marie davidson,8.0
electronic,lv,8.0
electronic,lexxi,8.0
electronic,"kyle dixon, michael stein",8.0
electronic,kneebody and daedelus,8.0
electronic,kk null,8.0
electronic,king felix,8.0
electronic,"kieran hebden, mats gustafsson, steve reid",8.0
electronic,julio bashmore,8.0
electronic,jon mcmillion,8.0
electronic,ink,8.0
electronic,holger czukay,8.0
electronic,flamin' groovies,8.0
electronic,faultline,8.0
electronic,ekkehard ehlers,8.0
electronic,egyptian lover,8.0
electronic,"donato dozzy, nuel",8.0
electronic,dj dodger stadium,8.0
electronic,"diplo, santogold",8.0
