Year,Artist,Average Rating
1999,bonnie prince billy,10.0
1999,the dismemberment plan,9.6
1999,underworld,8.15
1999,tom waits,9.5
1999,the avalanches,9.5
1999,roots manuva,9.5
1999,can,9.5
1999,wilco,9.4
1999,sigur rs,9.4
1999,to rococo rot,9.3
1999,built to spill,9.3
1999,califone,9.2
1999,blur,9.1
1999,the chemical brothers,6.9
1999,caetano veloso,9.0
1999,the delgados,8.9
1999,sam prekop,8.9
1999,robyn hitchcock,8.9
1999,lilys,8.75
1999,coldcut,8.9
1999,mos def,8.7
1999,modest mouse,8.7
1999,les savy fav,8.6
1999,jimi tenor,8.6
1999,archer prewitt,8.6
1999,u.s. maple,8.5
1999,stewart walker,8.5
1999,le tigre,8.5
1999,brokeback,8.5
1999,red stars theory,8.4
1999,plaid,7.6
1999,pedro the lion,8.4
1999,lee hazlewood,8.4
1999,burning airlines,8.4
1999,appendix out,8.4
1999,takako minekawa,7.7
1999,macha,8.3
1999,juno,8.3
1999,friends of dean martinez,8.3
1999,beulah,8.3
1999,kristin hersh,8.2
1999,ken vandermark's joe harriott project,8.2
1999,damien jurado,8.2
1999,snow patrol,8.1
1999,richard buckner,8.1
1999,poster children,8.1
1999,make-up,8.1
1999,looper,8.1
1999,isotope 217,8.1
1999,bailter space,8.1
1999,ui,8.0
1999,trans am,8.0
1999,the ladybug transistor,8.0
1999,songs: ohia,8.0
1999,rachel's,8.0
1999,my morning jacket,8.0
1999,matthew shipp,8.0
1999,fugazi,8.0
1999,fiona apple,8.0
1999,east river pipe,8.0
1999,clinic,8.0
1999,bows,8.0
1999,banco de gaia,8.0
1999,arling and cameron,8.0
1999,sloan,7.9
1999,"gregg bendian, nels cline",7.9
1999,cristian vogel,7.9
1999,starflyer 59,8.15
1999,simon joyner,7.8
1999,mansun,7.8
1999,june of 44,7.8
1999,superchunk,7.7
1999,grant hart,7.7
1999,edith frost,7.7
1999,xtc,7.9
1999,wheat,7.6
1999,thievery corporation,7.6
1999,they might be giants,7.6
1999,the wedding present,6.55
1999,the the,7.6
1999,solex,7.6
1999,the mendoza line,7.5
1999,the bevis frond,7.5
1999,squarepusher,7.5
1999,quannum,7.5
1999,nobukazu takemura,7.5
1999,mark lanegan,7.5
1999,cul de sac,7.5
1999,cornelius,6.45
1999,bis,6.3
1999,the vandermark five,7.4
1999,the magnetic fields,8.2
1999,sebadoh,7.4
1999,robert pollard and doug gillard,7.4
1999,pan sonic,7.4
1999,matthew sweet,7.4
1999,tram,7.3
1999,john wesley harding,7.3
1999,david sylvian,7.3
1999,radar bros.,7.2
1999,pole,7.2
1999,pinback,7.2
1999,don caballero,7.2
1999,bright eyes,7.2
1999,timeout drawer,7.1
1999,the jon spencer blues explosion,7.1
1999,madder rose,7.1
1999,fantastic plastic machine,7.1
1999,duster,7.1
1999,warn defever,7.0
1999,gorky's zygotic mynci,7.0
1999,cowboy junkies,7.0
1999,barbara manning,7.0
1999,josh wink,6.9
1999,jawbreaker,6.9
1999,her space holiday,6.9
1999,french kicks,6.9
1999,two lone swordsmen,8.05
1999,red hot chili peppers,6.8
1999,q-tip,6.8
1999,luna,6.8
1999,julie doiron,6.8
1999,funkstrung,6.8
1999,the cinematic orchestra,6.7
1999,teen idols,6.7
1999,muse,6.7
1999,fly pan am,6.7
1999,love as laughter,6.6
1999,bogdan raczynski,6.6
1999,barcelona,6.6
1999,unwound,6.5
1999,self,6.5
1999,neil hamburger,6.5
1999,saint etienne,6.4
1999,echo and the bunnymen,6.4
1999,unrest,6.4
1999,quasi,6.3
1999,mojave 3,6.3
1999,leftfield,6.3
1999,"tortoise, the ex",6.2
1999,luke slater,6.2
1999,black box recorder,6.2
1999,mogwai,6.1
1999,alejandro escovedo,6.1
1999,verbena,6.0
1999,the wisdom of harry,6.0
1999,swans,6.0
1999,sally timms,6.0
1999,idlewild,6.0
1999,hellacopters,5.65
1999,grandaddy,6.0
1999,"ben harper, the innocent criminals",6.0
1999,the rentals,5.9
1999,man or astro-man?,5.9
1999,the high llamas,5.8
1999,jason falkner,5.8
1999,the cars,5.7
1999,ghost,7.2
1999,euphone,5.7
1999,deerhoof,5.7
1999,autechre,6.7
1999,arcwelder,5.7
1999,freakwater,5.5
1999,plone,5.4
1999,nightmares on wax,5.4
1999,robert pollard,5.3
1999,labradford,5.3
1999,everything but the girl,5.3
1999,cocteau twins,5.3
1999,buffalo daughter,5.2
1999,fountains of wayne,5.1
1999,-ziq,5.1
1999,moby,5.0
1999,soundtrack,4.9
1999,"-ziq, kazumi",4.9
1999,lullaby for the working class,4.8
1999,dressy bessy,4.8
1999,comet gain,4.8
1999,cassius,4.8
1999,david bowie,4.7
1999,various artists,6.8
1999,stereophonics,4.4
1999,faithless,4.4
1999,the herbaliser,4.2
1999,bobby conn,4.2
1999,texas,4.0
1999,old 97's,4.0
1999,iqu,3.9
1999,momus,5.1
1999,kid loco,5.4
1999,jad fair,3.7
1999,art of noise,3.6
1999,kelley stoltz,3.5
1999,stereolab,3.4
1999,ben folds five,3.3
1999,pet shop boys,3.2
1999,the music tapes,2.7
1999,caustic resin,2.4
1999,the get up kids,3.55
1999,nine inch nails,2.0
1999,old time relijun,0.3
1999,wolfie,0.2
2000,radiohead,10.0
2000,pink floyd,10.0
2000,modest mouse,9.35
2000,two lone swordsmen,9.3
2000,clinic,9.3
2000,the microphones,9.2
2000,max tundra,9.2
2000,jackie-o motherfucker,9.2
2000,the sea and cake,9.0
2000,ryan adams,9.0
2000,godspeed you! black emperor,9.0
2000,gas,9.0
2000,a silver mt. zion,9.0
2000,tarwater,8.9
2000,pinetop seven,8.9
2000,dirty three,8.9
2000,boards of canada,8.9
2000,animal collective,8.9
2000,summer hymns,8.8
2000,arovane,8.8
2000,trans am,8.0
2000,les savy fav,8.7
2000,common,8.7
2000,asian dub foundation,8.7
2000,mike ladd,8.6
2000,matthew shipp,8.6
2000,johnny cash,8.6
2000,isotope 217,8.6
2000,blur,8.6
2000,badly drawn boy,8.6
2000,the mountain goats,8.5
2000,the beta band,8.5
2000,safety scissors,8.5
2000,plaid,8.5
2000,grandaddy,8.5
2000,fela kuti,8.5
2000,the who,8.4
2000,the peter brtzmann sextet / quartet,8.4
2000,the eternals,8.4
2000,susumu yokota,8.4
2000,mira calix,8.4
2000,duster,8.4
2000,crooked fingers,8.4
2000,takako minekawa,8.3
2000,sleater-kinney,8.3
2000,shellac,8.3
2000,quickspace,8.3
2000,of montreal,8.3
2000,mogwai,8.3
2000,low,8.3
2000,idlewild,8.3
2000,dat politics,8.3
2000,califone,8.3
2000,the wisdom of harry,8.2
2000,damien jurado,5.3
2000,bablicon,8.0
2000,arab strap,8.3
2000,the essex green,8.1
2000,steve earle,8.1
2000,primal scream,8.1
2000,john vanderslice,8.1
2000,"john cale, tony conrad, angus maclise, la monte young, marian zazeela",8.1
2000,xtc,8.0
2000,ween,8.0
2000,"vic chesnutt, mr. & mrs. keneipp",8.0
2000,the jim yoshii pile-up,8.0
2000,the for carnation,8.0
2000,sigur rs,8.0
2000,mirah,8.0
2000,microstoria,8.0
2000,goldfrapp,8.0
2000,faraquet,8.0
2000,enon,8.0
2000,cursive,8.0
2000,amon tobin,8.55
2000,764-hero,8.0
2000,the fire show,7.9
2000,talib kweli & hi-tek,7.9
2000,super furry animals,7.9
2000,spoon,7.9
2000,portastatic,7.9
2000,mouse on mars,7.9
2000,macha loved bedhead,7.9
2000,karate,7.9
2000,guided by voices,6.2
2000,do make say think,7.9
2000,destroyer,7.9
2000,david grubbs,7.9
2000,chris knox,7.9
2000,calexico,7.9
2000,buffalo tom,7.9
2000,boredoms,7.9
2000,travis,7.8
2000,the mendoza line,7.3
2000,the black heart procession,7.8
2000,sin ropas,7.8
2000,red stars theory,7.8
2000,poster children,7.8
2000,pole v. four tet,7.8
2000,pan american,7.8
2000,man or astro-man?,7.8
2000,chicago underground duo,7.8
2000,broadcast,7.8
2000,"big'n, oxes",7.8
2000,various artists,6.7
2000,underworld,7.7
2000,the smashing pumpkins,5.95
2000,starlight mints,7.7
2000,spring heel jack,6.93
2000,saint etienne,7.7
2000,pram,7.7
2000,everything but the girl,7.7
2000,red snapper,7.6
2000,pluramon,7.6
2000,merle haggard,7.6
2000,mates of state,7.6
2000,hot snakes,7.6
2000,"dj spooky, scanner",7.6
2000,cat power,7.6
2000,built to spill,7.6
2000,actionslacks,7.6
2000,the posies,7.6
2000,the jayhawks,7.5
2000,the aislers set,7.5
2000,songs: ohia,7.55
2000,mudhoney,7.5
2000,laika,7.5
2000,jeff buckley,7.5
2000,flying saucer attack,7.5
2000,don caballero,7.5
2000,death cab for cutie,7.5
2000,cinerama,7.5
2000,towa tei,7.4
2000,the softies,7.4
2000,pole,7.4
2000,laura cantrell,7.4
2000,kepler,7.4
2000,joseph arthur,7.4
2000,bjrk,7.4
2000,aix em klemm,7.4
2000,the jesus lizard,7.3
2000,richard davies,7.3
2000,quasimoto,7.3
2000,ian brown,7.3
2000,goldie,7.3
2000,chicks on speed,7.3
2000,black box recorder,7.3
2000,archer prewitt,7.3
2000,aceyalone,7.3
2000,waco brothers,7.2
2000,thievery corporation,7.2
2000,six by seven,7.2
2000,mercury program,7.2
2000,matthew sweet,7.2
2000,king biscuit time,7.2
2000,camper van beethoven,7.2
2000,arling and cameron,7.2
2000,air,7.2
2000,90 day men,7.2
2000,the the,7.1
2000,shalabi effect,7.1
2000,q and not u,7.1
2000,pinback,7.1
2000,melt-banana,7.1
2000,euphone,7.1
2000,beachwood sparks,7.1
2000,am/fm,7.1
2000,superchunk,7.0
2000,savath y savalas,7.0
2000,laurent garnier,7.0
2000,kingsbury manx,7.0
2000,horace andy,7.0
